,SODAR-100,confidence,fill_method,data_quality
2021-11-10 17:20:00,5.83,1.0,original,original
2021-11-10 17:30:00,5.99,1.0,original,original
2021-11-10 17:40:00,6.67,1.0,original,original
2021-11-10 17:50:00,6.15,1.0,original,original
2021-11-10 18:00:00,5.9,1.0,original,original
2021-11-10 18:10:00,5.84,1.0,original,original
2021-11-10 18:20:00,5.8,1.0,original,original
2021-11-10 18:30:00,5.93,1.0,original,original
2021-11-10 18:40:00,6.22,1.0,original,original
2021-11-10 18:50:00,6.24,1.0,original,original
2021-11-10 19:00:00,6.15,1.0,original,original
2021-11-10 19:10:00,5.55,1.0,original,original
2021-11-10 19:20:00,6.53,1.0,original,original
2021-11-10 19:30:00,6.44,1.0,original,original
2021-11-10 19:40:00,6.61,1.0,original,original
2021-11-10 19:50:00,7.02,1.0,original,original
2021-11-10 20:00:00,7.38,1.0,original,original
2021-11-10 20:10:00,6.76,1.0,original,original
2021-11-10 20:20:00,7.07,1.0,original,original
2021-11-10 20:30:00,7.08,1.0,original,original
2021-11-10 20:40:00,7.34,1.0,original,original
2021-11-10 20:50:00,7.39,1.0,original,original
2021-11-10 21:00:00,7.3,1.0,original,original
2021-11-10 21:10:00,7.34,1.0,original,original
2021-11-10 21:20:00,7.58,1.0,original,original
2021-11-10 21:30:00,7.17,1.0,original,original
2021-11-10 21:40:00,7.77,1.0,original,original
2021-11-10 21:50:00,7.37,1.0,original,original
2021-11-10 22:00:00,7.91,1.0,original,original
2021-11-10 22:10:00,7.96,1.0,original,original
2021-11-10 22:20:00,7.39,1.0,original,original
2021-11-10 22:30:00,7.5,1.0,original,original
2021-11-10 22:40:00,7.84,1.0,original,original
2021-11-10 22:50:00,8.41,1.0,original,original
2021-11-10 23:00:00,9.54,1.0,original,original
2021-11-10 23:10:00,8.18,1.0,original,original
2021-11-10 23:20:00,8.31,1.0,original,original
2021-11-10 23:30:00,8.67,1.0,original,original
2021-11-10 23:40:00,8.99,1.0,original,original
2021-11-10 23:50:00,8.57,1.0,original,original
2021-11-11 00:00:00,7.82,1.0,original,original
2021-11-11 00:10:00,7.52,1.0,original,original
2021-11-11 00:20:00,8.71,1.0,original,original
2021-11-11 00:30:00,8.37,1.0,original,original
2021-11-11 00:40:00,8.63,1.0,original,original
2021-11-11 00:50:00,8.7,1.0,original,original
2021-11-11 01:00:00,9.4,1.0,original,original
2021-11-11 01:10:00,8.64,1.0,original,original
2021-11-11 01:20:00,8.5,1.0,original,original
2021-11-11 01:30:00,8.68,1.0,original,original
2021-11-11 01:40:00,8.37,1.0,original,original
2021-11-11 01:50:00,8.86,1.0,original,original
2021-11-11 02:00:00,8.37,1.0,original,original
2021-11-11 02:10:00,7.87,1.0,original,original
2021-11-11 02:20:00,7.43,1.0,original,original
2021-11-11 02:30:00,8.17,1.0,original,original
2021-11-11 02:40:00,7.97,1.0,original,original
2021-11-11 02:50:00,7.67,1.0,original,original
2021-11-11 03:00:00,8.29,1.0,original,original
2021-11-11 03:10:00,7.98,1.0,original,original
2021-11-11 03:20:00,7.43,1.0,original,original
2021-11-11 03:30:00,7.05,1.0,original,original
2021-11-11 03:40:00,7.0,1.0,original,original
2021-11-11 03:50:00,8.75,1.0,original,original
2021-11-11 04:00:00,8.77,1.0,original,original
2021-11-11 04:10:00,8.38,1.0,original,original
2021-11-11 04:20:00,7.71,1.0,original,original
2021-11-11 04:30:00,8.72,1.0,original,original
2021-11-11 04:40:00,9.51,1.0,original,original
2021-11-11 04:50:00,9.26,1.0,original,original
2021-11-11 05:00:00,8.89,1.0,original,original
2021-11-11 05:10:00,8.46,1.0,original,original
2021-11-11 05:20:00,9.06,1.0,original,original
2021-11-11 05:30:00,9.16,1.0,original,original
2021-11-11 05:40:00,8.53,1.0,original,original
2021-11-11 05:50:00,8.19,1.0,original,original
2021-11-11 06:00:00,8.08,1.0,original,original
2021-11-11 06:10:00,4.42,1.0,original,original
2021-11-11 06:20:00,4.87,1.0,original,original
2021-11-11 06:30:00,4.8,1.0,original,original
2021-11-11 06:40:00,4.1,1.0,original,original
2021-11-11 06:50:00,4.41,1.0,original,original
2021-11-11 07:00:00,4.14,1.0,original,original
2021-11-11 07:10:00,4.52,1.0,original,original
2021-11-11 07:20:00,4.89,1.0,original,original
2021-11-11 07:30:00,6.4,1.0,original,original
2021-11-11 07:40:00,6.86,1.0,original,original
2021-11-11 07:50:00,7.41,1.0,original,original
2021-11-11 08:00:00,7.75,1.0,original,original
2021-11-11 08:10:00,8.13,1.0,original,original
2021-11-11 08:20:00,7.58,1.0,original,original
2021-11-11 08:30:00,7.17,1.0,original,original
2021-11-11 08:40:00,6.44,1.0,original,original
2021-11-11 08:50:00,9.15,1.0,original,original
2021-11-11 09:00:00,7.74,1.0,original,original
2021-11-11 09:10:00,8.87,1.0,original,original
2021-11-11 09:20:00,9.3,1.0,original,original
2021-11-11 09:30:00,10.33,1.0,original,original
2021-11-11 09:40:00,8.36,1.0,original,original
2021-11-11 09:50:00,8.21,1.0,original,original
2021-11-11 10:00:00,9.77,1.0,original,original
2021-11-11 10:10:00,8.76,1.0,original,original
2021-11-11 10:20:00,9.23,1.0,original,original
2021-11-11 10:30:00,9.63,1.0,original,original
2021-11-11 10:40:00,10.52,1.0,original,original
2021-11-11 10:50:00,10.42,1.0,original,original
2021-11-11 11:00:00,9.44,1.0,original,original
2021-11-11 11:10:00,9.52,1.0,original,original
2021-11-11 11:20:00,9.1,1.0,original,original
2021-11-11 11:30:00,10.59,1.0,original,original
2021-11-11 11:40:00,10.84,1.0,original,original
2021-11-11 11:50:00,9.53,1.0,original,original
2021-11-11 12:00:00,9.84,1.0,original,original
2021-11-11 12:10:00,10.3,1.0,original,original
2021-11-11 12:20:00,10.16,1.0,original,original
2021-11-11 12:30:00,9.9,1.0,original,original
2021-11-11 12:40:00,9.44,1.0,original,original
2021-11-11 12:50:00,10.31,1.0,original,original
2021-11-11 13:00:00,9.42,1.0,original,original
2021-11-11 13:10:00,9.14,1.0,original,original
2021-11-11 13:20:00,9.62,1.0,original,original
2021-11-11 13:30:00,9.17,1.0,original,original
2021-11-11 13:40:00,9.53,1.0,original,original
2021-11-11 13:50:00,9.3,1.0,original,original
2021-11-11 14:00:00,10.02,1.0,original,original
2021-11-11 14:10:00,10.01,1.0,original,original
